+------------------+--------------------+--------------------------------+-----------+--------------------------------+
| Sprint Team Size |  Sprint Run Length |  Sprint Story Point Estimation |  Decision |          Description           |
+------------------+--------------------+--------------------------------+-----------+--------------------------------+
|        1         |         3          |               1                |   False   | More than 1 parameter is false |
|        2         |         12         |               3                |   False   | More than 1 parameter is false |
|        3         |         14         |               1                |   False   | More than 1 parameter is false |
|        4         |         8          |               3                |   False   | More than 1 parameter is false |
|        5         |         4          |               2                |   False   | More than 1 parameter is false |
|        6         |         13         |               2                |   False   | More than 1 parameter is false |
|        7         |         7          |               4                |   False   | More than 1 parameter is false |
|        8         |         13         |               2                |   False   | More than 1 parameter is false |
|        9         |         5          |               2                |   False   | More than 1 parameter is false |
|        10        |         14         |               4                |   False   | More than 1 parameter is false |
|        11        |         15         |               4                |   False   | More than 1 parameter is false |
|        12        |         5          |               3                |   False   | More than 1 parameter is false |
|        13        |         9          |               4                |   False   | More than 1 parameter is false |
|        14        |         11         |               4                |   False   | More than 1 parameter is false |
|        15        |         3          |               3                |   False   | More than 1 parameter is false |
|        16        |         14         |               2                |   False   | More than 1 parameter is false |
|        17        |         8          |               4                |   False   | More than 1 parameter is false |
|        18        |         14         |               4                |   False   | More than 1 parameter is false |
|        19        |         12         |               2                |   False   | More than 1 parameter is false |
|        20        |         4          |               1                |   False   | More than 1 parameter is false |
|        21        |         8          |               4                |   False   | More than 1 parameter is false |
|        22        |         8          |               4                |   False   | More than 1 parameter is false |
|        23        |         15         |               2                |   False   | More than 1 parameter is false |
|        24        |         3          |               3                |   False   | More than 1 parameter is false |
|        25        |         4          |               3                |   False   | More than 1 parameter is false |
|        26        |         10         |               4                |   False   | More than 1 parameter is false |
|        27        |         6          |               1                |   False   | More than 1 parameter is false |
|        28        |         4          |               4                |   False   | More than 1 parameter is false |
|        29        |         7          |               4                |   False   | More than 1 parameter is false |
|        30        |         2          |               4                |   False   | More than 1 parameter is false |
|        31        |         2          |               1                |   False   | More than 1 parameter is false |
|        32        |         10         |               1                |   False   | More than 1 parameter is false |
|        33        |         13         |               3                |   False   | More than 1 parameter is false |
|        34        |         13         |               4                |   False   | More than 1 parameter is false |
|        35        |         3          |               1                |   False   | More than 1 parameter is false |
